payee_pattern,allocate_account,sub_account
EDGERLYS SEW N VAC,dispersement : fb,personal : household
MIDWEST GEOSCIENCE GROUP 763-607,prof : training,
PURCHASE FRANKS PLACE,proj exp : meal,
MCDONALD'S F5353,dispersement : fb,personal : dining
HLU*HULU 389613892613,dispersement : fb,personal : entertainment
HUNTINGTON BP MERCH PMT 180104,account : bgm,
WALGREENS #10405,dispersement : fb,personal : household
HAMPTON INNS 517-2799800 MI,proj exp : lodging,
WAL-MART #7301 CARENCRO LA,proj exp : meal,
PURCHASE DOLLAR TREE,equipment : office supplies,
PURCHASE WISE OWL TECHNOLOGIES,equipment : computer,
Larry - ACAD,sub : acad,
PURCHASE PET SUPPLIES PLUS #201,dispersement : fb,
PURCHASE PARKER ACE HARDWARE,dispersement : fb,personal : dining
DEPOSIT,account : bgm,
PURCHASE JCPENNEY 0703,dispersement : fb,household
Ground Penetrating Radar Systems,sub : geophysics,
PARKER ACE HARDWARE SAULT SAINTE,equipment : office furniture,
AIRBNB * HMEPQRMYCW 415-800-5959,proj exp : lodging,
PURCHASE SQU*SQ *NORTH PERK COF,proj exp : meal,
USAA P&C EXT AUTOPAY,insurance : auto,
PURCHASE PENNYS KITCHEN,dispersement : fb,personal : dining
PURCHASE OREILLY AUTO PA,proj exp : equipment,
PURCHASE THE WICKED SISTER,dispersement : fb,
transfer from CSB,account : csb,
DEPOSIT,account : csb,
PURCHASE LOCK CITY HOME,dispersement : fb,
BIG BOY MANISTIQUE MANISTIQUE MI,proj exp : meal,
PURCHASE MCDONALD'S F17236,proj exp : meal,
MCALISTER'S #1033 GRENADA MS,proj exp : meal,
TST* JACK'S RESTAURANT RAPID RIV,proj exp : meal,
PURCHASE SOO SUPERVALU,dispersement : fb,household : groceries
Interest Charge on Purchases,fee : interest,
Invoice,account : ar,
PURCHASE WM SUPERCENTER,proj exp : food,
VALUE VILLAGE 2042,dispersement : fb,personal : household
CSB Loan Payment - Interest,loan : csb : interest,
DDA CASH ADVANCE,account : personal,
KFC J718185 BENTON IL,proj exp : meal,
PURCHASE AMAZON.COM*M86JW1FC1,equipment : tech reference,
PARKER ACE HARDWARE SAULT SAINTE,dispersement : fb,household
check,account : bgm,
AT&T WIRELESS,telecom : cell phone,
HELLOFRESH.COM 800-733,dispersement : fb,personal : groceries
Happy Hounds,dispersement : fb,household
KofC Council - Pasties,charity : kofc,
NATIONAL OFFICE PRODUC,equipment : office supplies,
KRIST FOOD MART #40 SAULT STE MA,proj exp : meal,
BP#9150376BARNEYS CONV M BOWLING,auto : gas,
PURCHASE ONSTAR,telecom : onstar,
NATIONWIDE - COM BILL PAY,insurance : gen-prof liability,
ZURICH AMERICAN PAYMENTS,account : ar,
OVERDRAFT ITEM FEE,fee : bank,
Cloverland Elect WEB PMTS,utility : electric,
PURCHASE SP * EXODUS 90,dispersement : fb,
LOVES TRAVEL S00006437 SIKESTON ,proj exp : meal,
INTERNET TFR TO CHECKING,account : debit,
OD PROTECTION TRANSFER FROM CRED,credit : voice,account : personal
PURCHASE KRIST OIL 3*,auto : gas,
PURCHASE GRAND HOTEL LLC,dispersement : fb,personal : vacation
INTERNET PMT TO CCD 062218,credit : voice,
SALON C,dispersement : fb,personal : household
PURCHASE KEMPKER'S TRUE,proj exp : equipment,
MERCHANDISE RET HELLOFRESH.C,dispersement : fb,personal : groceries
WAL-MART #1936 SAULT SAINTE MI,dispersement : fb,household
ATM USAGE FEES,fee : bank,
GMF Lease ,auto : cruze,
WM SUPERCENTER #2938 LAFAYETTE L,proj exp : meal,
PURCHASE MCDONALD'S F18073,proj exp : meal,
OPTOM EYE CARE,medical : eye,
MEIJER INC #136 Q01 ANDERSON IN,proj exp : meal,
PAYPAL *FANDANGOMED,dispersement : fb,personal : household
JORDAN'S CITGO KWIK STOP BLYTHEV,auto : gas,
ACH CREDIT 1732390 HUNTINGTON BP,account : bgm,
WM SUPERCENTER #1936,dispersement : fb,personal : groceries
INTERNET PMT TO CCD 040218,credit : voice,
PNC-Tax,account : tax,
KRIST OIL 3* MARQUETTE MI,auto : gas,
PURCHASE GFS STORE #092,dispersement : fb,personal : groceries
csb,mortgage : parnell : principle,
PURCHASE CHURCH MILITANT.TV,dispersement : fb,personal : subscription
FOTOFX ARK ENCOUNTER,dispersement : fb,personal : entertainment
BP#8729402RICKERS #24 PENDLETON ,proj exp : meal,
1668 WINERY,dispersement : fb,personal : dining
PURCHASE SUPERIOR SENSATIONS CA,dispersement : fb,
PURCHASE DOLLAR TREE,charity : kofc,
PURCHASE RITE AID STORE,proj exp : meal,
PURCHASE JOANN STORES #,dispersement : fb,household
INTERNET PMT TO CCD 122118,credit : voice,
PURCHASE THE LANDMARK INN,proj exp : lodging,
PURCHASE BOOKFACTORY,equipment : office supplies,
LinkedIn 4183337174 lnkd.855-653,equipment : computer,
PURCHASE AMAZON.COM*M88F62N02,equipment : tech reference,
DR CRAIG MERCER DDS SAULT S MARI,medical : dental,
War Memorial,training : fb,
XMIND LTD CENTRAL HK,equipment : software license,
PAYPAL *NETFLIX.COM 402-935-7733,dispersement : fb,personal : entertainment
CRACKER BARREL #156 TE,proj exp : meal,
PANERA BREAD 606032 EFFINGHAM IL,proj exp : meal,
T J MAXX 4500 I-7,dispersement : fb,personal : clothing
INTERNET PMT TO CCD 022618,credit : voice,
PURCHASE TLF*COED FLOWERS AND G,dispersement : fb,
SHELL OIL 57443552500 MARSHALL M,auto : gas,
HOLIDAY STNSTORE 0159 MARQUETTE ,auto : gas,
SQ *114 ELM MUNISING MI,dispersement : fb,personal : clothing
LITTLE CAESARS 1324 0001 SAULT S,dispersement : fb,personal : dining
HUNTINGTON BP MERCH PMT 180511,account : bgm,
SUNOCO 0236971800 BRIMLEY MI,auto : gas,
JCS SEVIERVILLE SEVIERVILLE TN,proj exp : meal,
LOVE S TRAVEL 00006635 PORT BARR,proj exp : meal,
PURCHASE PALM TREE PAT,proj exp : meal,
WAL-MART #2866 OKEMOS MI,proj exp : meal,
PURCHASE GREAT WALL,dispersement : fb,household : groceries
The Landmark Inn Marquette MI,proj exp : lodging,
OVERDRAFT FEE,fee : bank,
PREJEANS LAFAYETTE LA,proj exp : meal,
OFFICEMAX/OFFICE DEPOT643 MARQUE,equipment : office supplies,
PURCHASE CHARLIES COUNTRY,auto : gas,
Loan Payment,mortgage : parnell : note3,
PURCHASE NATIONAL OFFICE PRODUC,equipment : office supplies,
511 ASHMUN ST SAULT ST. MAR MI,dispersement : fb,personal : dining
csb,mortgage : parnell : escrow,
Loan Acct. 50083-1,mortgage : parnell,
Bishop Baraga Association,charity : church,
STAR LINE MACKINAC ISL SAINT IGN,dispersement : fb,personal : vacation
WM SUPERCENTER #402 BREAUX BRIDG,proj exp : meal,
PURCHASE SAFELITE AUTOGLASS,auto : maintenance,
PURCHASE SHELL Service S,auto : gas,
PURCHASE SAULT PRINTING CO,proj exp : reproduction,
INDO CHINA GARDEN,dispersement : fb,personal : dining
PERKINS REST 00011858 GALESBURG ,proj exp : meal,
PAYPAL *ARTCURATOR,dispersement : fb,personal : household
PURCHASE DOHERTY HOTEL,proj exp : lodging,
CUSTOMIZED SERVICE 858-810-2000 ,auto : maintenance,
PURCHASE KRIST FOOD MART #40,auto : gas,
PURCHASE TLF*COED FLOWERS AND G,dispersement : fb,personal : household
PURCHASE BP#8701815ST IGNACEQPS,auto : gas,
WAL-MART #0534 LAFAYETTE LA,proj exp : meal,
GOLDEN SOFTWARE 303-2791021 CO,equipment : software,
CORNER STORE 1729 LAFAYETTE LA,auto : gas,
"PURCHASE DAILY BURN, INC.",dispersement : fb,
US Treasurer - IRS,tax : corporate ,
AMERICINN MOTEL & SUITES MENOMIN,proj exp : lodging,
WISE OWL TECHNOLOGIES 800-449801,equipment : computer,
KRIST OIL CO INC 0,auto : gas,
PURCHASE BEACON & BRIDGE MRKT13,auto : gas,
ONLINE TRANSFER TO XXXXX5176,account : tax,
PURCHASE PET SUPPLIES PLUS #201,dispersement : fb,personal : household
BP#8833196RICKERS #38 INDIANAPOL,proj exp : meal,
BEGGAR'S BANQUET EAST LANSING MI,proj exp : meal,
THE GRAND 16 - LAF LAFAYETTE LA,proj exp : meal,
JOANN STORES #2336,charity : stmarys,
NEPHEWS OF MACKINAC MACKINAC ISL,dispersement : fb,personal : vacation
PURCHASE JOANN STORES #,charity : stmarys,
HAMPTON INN MARION MARION IL,proj exp : lodging,
CONTINUOUS OD CHARGE - 03 DAYS,fee : bank,
Payment By Funds Transfer,account : personal,
MARATHON PETRO151787 PIGEON FORG,auto : gas,
PURCHASE CSA } ADP DAMAGE PROTE,unknown,
FIRST THINGS,dispersement : fb,personal : subscription
GUSTO CON 610360,account : ar,
CHEVRON 0046369 MCCOMB MS,auto : gas,
INTERNET TFR TO CHECKING,account : bgm,
ACH DEBIT XXXXX0696 IRS USATAXPY,tax : installment,
PURCHASE AMZN MKTP US*M83RN1RB0,equipment : tech reference,
SP * ALDENFIT,dispersement : fb,personal : household
INTERNET PMT TO CCD 103118,credit : voice,
PURCHASE AMZN MKTP US,equipment : tech reference,
PURCHASE FRANK N STUFF,proj exp : meal,
PURCHASE MEIJER INC #203 Q01,proj exp : equipment,
PURCHASE HELLOFRESH.COM 800-733,dispersement : fb,personal : groceries
DTE ELECTRIC CO 8004774747,utility : gas,
HUNTINGTON BP MERCH PMT 181113,account : bgm,
ZORBAS GREEK AMERICAN,dispersement : fb,personal : dining
Payment to MB,account : debit,
SERVICE CHARGE PERIOD ENDING 10/,fee : bank,
PURCHASE FRANKS PLACE,dispersement : fb,
HUNTINGTON ATM CASH WITHDRAWAL,dispersement : fb,account : cash
SHELL OIL 57426787909 MOUNT VERN,auto : gas,
PURCHASE JCPENNEY.COM,dispersement : fb,household
AIRBNB * HMEPQRMYCW 415-800- CRE,proj exp : lodging,
csb,mortgage : parnell : interest,
INTERNET PMT TO CCD 112818,credit : voice,
Michelle Breen,dispersement : fb,michelle
PURCHASE SUNOCO 0703910,auto : gas,
HUNTINGTON BP MERCH PMT 180129,account : bgm,
TST* WINCHESTER S MACKINAC ISLA ,dispersement : fb,personal : vacation
PURCHASE DRESSBARN DRESSBAR,dispersement : fb,personal : clothing
INTERNET PMT TO CCD 011618,credit : voice,
csb,mortgage : baird : interest,
ACH CREDIT 5981392 HUNTINGTON BP,account : bgm,
CSB Unsecured Loan,loan : csb,
CORPORATE ACH 270845121940383 IR,tax : corporate,
FRANKS PLACE,dispersement : fb,personal : dining
Holy Name of Mary,charity : church,
PAYPAL *ARTCURATOR 402-935-7733 ,dispersement : fb,personal : entertainment
ARK ENCOUNTER,dispersement : fb,personal : entertainment
PURCHASE SOO SUPERVALU FOODS,dispersement : fb,household : groceries
PURCHASE Wal-Mart Super,proj exp : meal,
SOO SUPERVALU,dispersement : fb,personal : groceries
OD PROTECTION TRANSFER FROM CRED,account : personal,
debit memo,account : cash,
PURCHASE SUBWAY 03023660,proj exp : meal,
INTERNET PMT TO CCD 031318,credit : voice,
DEPOSIT,account : cash,
PURCHASE FAREWAY STORES,proj exp : meal,
MARATHON PETRO178590 WATERS MI,auto : gas,
PURCHASE T J MAXX 4500 I-7,dispersement : fb,
deposit to CSB,account : csb,
PAYPAL *AUDIOBOOKS,dispersement : fb,personal : household
Transfer to PNC Tax Account,account : tax,
CRACKER BARREL #93 MT. VE MOUNT ,proj exp : meal,
INTERNET PMT TO CCD 080618,credit : voice,
GREAT WALL,dispersement : fb,personal : dining
THE STORE 96 ESCANABA MI,auto : gas,
AIRBNB * HMMTF23NW9 415-800-5959,proj exp : lodging,
PURCHASE PICKLEMAN S PETRO,auto : gas,
THE STONEHOUSE ESCANABA MI,proj exp : meal,
WOODLAKE MARKET KOHLER WI,proj exp : meal,
HOLIDAY INN EXP GAS CITY GAS CIT,proj exp : lodging,
Preferred Cred PrefCredit,loan : vaccuum,
ACH DEBIT XXXXX2220 IRS USATAXPY,tax : installment,
Transfer to CSB Account,csb : account,
PURCHASE DIXIE SALOON,proj exp : meal,
PURCHASE GFS STORE #092,dispersement : fb,
PURCHASE BIG LOTS 3396 I 7,dispersement : fb,
PERKINS RST BA00220327 MENOMINEE,proj exp : meal,
PURCHASE WAL-MART #0797,proj exp : meal,
EASY SAVINGS REBATE RBT PIZZA HU,proj exp : meal,
T J MAXX #1322,dispersement : fb,personal : clothing
kofc,charity : kofc,
PURCHASE SUBWAY 00030452,proj exp : meal,
deposit,account : cash,
ACH CREDIT 8262521 HUNTINGTON BP,account : bgm,
"PURCHASE DAILY BURN, INC.",dispersement : fb,personal : subscription
PURCHASE HAMPTON INN,proj exp : lodging,
PURCHASE GREAT WALL,dispersement : fb,
CIRCLE K # 21530 WINONA MS,auto : gas,
SHELL OIL 52136600039 GAYLORD MI,auto : gas,
PURCHASE ASTM FEES/PUBLICATIONS,equipment : tech reference,
SUBWAY 00133280 GREENUP IL,proj exp : meal,
ONLINE TRANSFER FROM XXXXX1354,account : medical,
PURCHASE WISH.COM,dispersement : fb,household : clothing
PROMETRIC EXAM FEE,license : fb,
FB4 Rental Payment,income : rental : fb,
YOUNKERS #0442,dispersement : fb,personal : clothing
PURCHASE WENDYS #5094 SAULT STE,proj exp : meal,
CORPORATE ACH 270845153653073 IR,tax : corporate,
SOO SUPERVALU FOODS,dispersement : fb,personal : groceries
SELFAUTHORING.COM 16173987023 FL,prof : training,
PURCHASE SUMMIT SUPPLY INC,equipment : office furniture,
KNIGHTS GEAR ONLINE 877-2476792 ,charity : reimbursed,
MCDONALD'S F35775 JELLICO TN,proj exp : meal,
Keystone,sub : laboratory,
PURCHASE MEIJER # 293,proj exp : equipment,
MARATHON PETRO21402 GAYLORD MI,auto : gas,
PURCHASE BIG LOTS 3396 I 7,dispersement : fb,personal : household
PURCHASE AIRBNB * HMYH59NM4X,proj exp : lodging,
USAA MC Payment,credit : usaamc,
PURCHASE YPS*HOMEAWAY HA-LPTBRX,unknown,
PURCHASE THE HUB,dispersement : fb,
GREAT WALL SAULT ST MARI MI,dispersement : fb,personal : dining
ACH CREDIT 9303665 HUNTINGTON BP,account : bgm,
PICABOO YEARBOOKS,dispersement : fb,personal : household
PROMETRIC EXAM FEE,license : mb,
MONK MANUAL MONKMANUAL.CO OH,equipment : office supplies,
ACH CREDIT 9303664 HUNTINGTON BP,account : bgm,
Langendorf & Associates,prof serv : accounting,
CHEVRON 0205833 PORT BARRE LA,auto : gas,
PAYPAL *DROPBOX 402-935-7733 CA,equipment : computer,
PAYPAL *GODADDY.COM,internet : website,
INTERNATIONAL TRANSACTION FEE,fee : bank,
INTERNET PMT TO CCD 090418,credit : voice,
EXXONMOBIL 45304169 KROTZ SPRING,auto : gas,
PURCHASE LOCK CITY HOME CTR,dispersement : fb,
PURCHASE CHRISTIAN CARE MINISTR,insurance : health,
INTERNET TFR FRM CHECKING,account : debit,
