payee_pattern,allocate_account
NATIONAL OFFICE PRODUCTS SAULTSA,equipment : office supplies
SHOE DEPT 1599,personal : clothing
ONLINE TRANSFER TO XXXXX5176,account : tax
USAA.COM PAY EXT LIFE,insurance : life : fb
HAMPTON INN MCCOMB MCCOMB MS,proj exp : lodging
BIGGBY COFFEE #351 SAULT SAINTE ,proj exp : meal
MARATHON PETRO261354 SAULT STE. ,auto : gas
PURCHASE MARTINIS GRILLE AND BA,proj exp : meal
FRANKS PLACE - SAULT S SAULT SAI,personal : dining out
GREAT WALL,personal : dining
PURCHASE CHARLIES COUNTRY,auto : gas
PARKER ACE HARDWARE,personal : household
INTERNET PMT TO CCD 121818,credit : voice
PURCHASE SOO SUPERVALU,household : groceries
SHELL OIL 57426787909 MOUNT VERN,auto : gas
Payment By Funds Transfer,account : personal
Loan Acct. 50083-1,mortgage : parnell
PURCHASE PARKER ACE HAR,equipment : office furniture
OFFICE DEPOT #629 SOUTH HAVEN MS,equipment : office supplies
PURCHASE JHFS #152 - CAD,auto : gas
PURCHASE NATIONAL OFFICE PRODUC,equipment : office supplies
PURCHASE LITTLE CAESARS 1324 00,proj exp : meal
CAFE MOSAIC - OPELOUSA OPELOUSAS,proj exp : meal
PURCHASE AMAZON.COM*M88F62N02,equipment : tech reference
Fee,fee : bank
PURCHASE WAL-MART #1294,proj exp : meal
PURCHASE SUNOCO 0703910,auto : gas
YPS*HOMEAWAY HA-RZ0QLH 866-210-6,personal : vacation
INTERNET PMT TO CCD 020918,credit : voice
PURCHASE PENNYS KITCHEN,business development : meal
BIG LOTS STORES - #170,personal : household
PAK N SHIP XPRESS SAULT STE. MA ,proj exp : shipping
SHELL OIL 57443552500 MARSHALL M,auto : gas
TST* JACK'S RESTAURANT RAPID RIV,proj exp : meal
SHELL OIL 52198310022 WEST BRANC,auto : gas
*FINANCE CHARGE* PURCHASE,fee : bank
WM SUPERCENTER #402 BREAUX BRIDG,proj exp : meal
Transfer to CSB Account,csb : account
PURCHASE SHELL Service S,auto : gas
SPEEDWAY 08740 DEW DE WITT MI,auto : gas
CHEVRON 0205821 LAFAYETTE LA,auto : gas
PURCHASE USA GASOLINE,auto : gas
PURCHASE FRANK N STUFF,proj exp : meal
Loan Payment,mortgage : parnell : note3
ACH DEBIT XXXXX3741 IRS USATAXPY,tax : intallment
INTERNET PMT TO CCD 032618,credit : voice
PURCHASE AIRGASS NORTH,equipment : clothing
FRANKS PLACE SAULT SAINTE MI,personal : dining out
BURGER KING #11714 Q07,personal : dining
PURCHASE PENNYS KITCHEN,business developement : meal
THE STORE 96 ESCANABA MI,auto : gas
kofc,charity : kofc
INTERNET PMT TO CCD 011718,credit : voice
PURCHASE BP#8890618BLANEY PRQPS,auto : gas
HURON ST PUB AND GRILL MACKINAC ,personal : vacation
AIRBNB * HMEPQRMYCW 415-800- CRE,proj exp : lodging
GMF Lease ,auto : cruze
PURCHASE 1668 WINERY,business development : meal
BIG BOY MANISTIQUE MANISTIQUE MI,proj exp : meal
TST* WINCHESTER S MACKINAC ISLA ,personal : vacation
PURCHASE PAK N SHIP XPRESS,proj exp : shipping
SHELL OIL 57445014400 MUNISING M,auto : gas
PURCHASE BCI*BIRCHCOMMUNICATION,utility : landline
PURCHASE WM SUPERCENTER,proj exp : good
JOHNSON CITY Z49010754 JOHNSTON ,auto : gas
EASY SAVINGS REBATE RBT AMERICIN,proj exp : lodging
DODGE STORE 6201 BLYTHEVILLE AR,auto : maintanence
LOVE S TRAVEL 00006635 PORT BARR,proj exp : meal
PURCHASE GRAND HOTEL LLC,salary : fbreen
HAMPTON INN MT VERNON MOUNT VERN,proj exp : lodging
PURCHASE MCDONALD'S F17236,proj exp : meal
INTEREST PAYMENT,fee : bank
SP * ALDENFIT,personal : household
MARATHON PETRO261354O SAULT STE.,auto : gas
PICKLEMAN'S 1 STOP NEWBERRY MI,auto : gas
TA CLAYTON CLAYTON IN,proj exp : meal
Payment from BGM,account : bgm
BIRCH COMMUNCAT INVPMT,telecom : landline
PURCHASE MCDONALD'S F5353,proj exp : meal
MEIJER # 293,personal : groceries
CORNER STORE 1729 LAFAYETTE LA,auto : gas
APGO TORONTO CD,prof fee : license
MCALISTER'S #1033 GRENADA MS,proj exp : meal
Mi Dept. of Treasury,tax : state
PURCHASE WM SUPERCENTER,proj exp : food
"PURCHASE OPTICSPLANET, INC.",proj exp : equipment
PURCHASE POSHMARK,salary : fbreen
WALGREENS #10405 SAULT S MARIE M,household
NATIONWIDE - COM BILL PAY,insurance : gen-prof liability
MCDONALD'S F5896 ST. IGNACE MI,proj exp : meal
ACH CREDIT 1259124 HUNTINGTON BP,account : bgm
PURCHASE PARKER ACE HARDWARE,equipment : office furniture
,account : bgm
Liberty Committee,charity : kofc
EASY SAVINGS REBATE RBT SUNOCO 0,proj exp : meal
CHINA CATE,personal : dining
Payment to USAA MC,credit : usaamc
MARATHON PETRO203695 NAUBINWAY M,auto : gas
INTERNET TFR TO CHECKING,account : debit
INTERNET PMT TO CCD 040218,credit : voice
INTL DEBIT CARD TRANS FEES,fee : bank
ATM USAGE FEES,fee : bank
DR CRAIG MERCER DDS SAULT S MARI,medical : dental
PURCHASE AMZN MKTP US*M83RN1RB0,equipment : tech reference
PARKER ACE HARDWARE SAULT SAINTE,equipment : office furniture
PHILLIPS 66 - JACK FLASH EFFINGH,auto : gas
SHELL OIL 57444174502 VILLA PARK,auto : gas
EXXONMOBIL 97430482 RAPID RIVER ,auto : gas
INTERNET PMT TO CCD 122118,credit : voice
R&R Marine,equipment : storage
SHELL OIL 57445373608 CEDAR RIVE,auto : gas
PURCHASE WENDYS #5094 SAULT STE,proj exp : meal
DDA CASH ADVANCE,account : personal
PANERA BREAD 606032 EFFINGHAM IL,proj exp : meal
csb,mortgage : baird : interest
ACH DEBIT XXXXX3912 IRS USATAXPY,tax : installment 
PURCHASE INT*IN *GOODWILL INDUS,salary : fbreen
WM SUPERCENTER #2938 LAFAYETTE L,proj exp : meal
CSB Loan Payment - Interest,loan : csb : interest
PURCHASE SQ *SQ *BOOMERANG RETR,salary : fbreen
w/drawl,loan :
INTERNET TFR FRM CHECKING,account : bgm
PURCHASE RED WINGS STORE 43,proj exp : clothing
PURCHASE JCPENNEY.COM,household
BEGGAR'S BANQUET EAST LANSING MI,proj exp : meal
USAA CREDIT CARD PAYMENT SAN ANT,account : cash
PURCHASE ULTA #702,equipment : office furniture
PURCHASE KRIST FOOD MART #40,auto : gas
DEPOSIT,account : ar
INTERNET PMT TO CCD 041818,credit : voice
SHELL OIL 57442115002 PLAINFIELD,auto : gas
BP#8833196RICKERS #38 INDIANAPOL,proj exp : meal
PURCHASE PALM TREE PAT,proj exp : meal
PURCHASE CHARTER COMM,utility : internet service
LSSU TICKETING & EVENT,personal : entertainment
WALGREENS #10405,personal : household
Ground Penetrating Radar Systems,sub : geophysics
SHELL OIL 57446319303 CLAYTON IN,auto : gas
PURCHASE PARKER ACE HARDWARE,salary : fbreen
ROC #16 JOHNSTON CITY IL,auto : gas
LOVES TRAVEL S00006437 SIKESTON ,proj exp : meal
PURCHASE LAKESUPERIORSTATE #035,tuition : mcbreen
FIRST THINGS,personal : subscription
INTERNET PMT TO CCD 041118,credit : voice
INTERNET PMT TO CCD 121918,credit : voice
EXXONMOBIL 97670137 RUSSELL IL,auto : gas
PAYPAL *GODADDY.COM 402-935-7733,equipment : computer
PURCHASE BIGGBY COFFEE STORE 54,proj exp : meal
TANGLEWOOD MARSH GOLF,personal : entertainment
PURCHASE DOLLAR TREE,charity : kofc
CIRCLE K # 21530 WINONA MS,proj exp : meal
MCDONALD'S F18237 CASEY IL,proj exp : meal
CHINA CATE SAULT S MARIE MI,personal : dining out
PURCHASE TIM HORTON'S #916666,proj exp : meal
PURCHASE SHOPKO 16,auto : gas
PAYPAL *GODADDY.COM,internet : website
BIG MUDDY'S BURLINGTON IA,proj exp : meal
PURCHASE JACKSON ST MOBI,auto : gas
BP#9150376BARNEYS CONV M BOWLING,auto : gas
PURCHASE BP#5986443LAKESHOREQPS,auto : gas
BLUE DOG CAFE LAFAYETTE LA,proj exp : meal
HAMPTON INNS 765-6626656 IN,proj exp : lodging
INTERNET PMT TO CCD 100218,credit : voice
PURCHASE GREAT WALL,salary : fbreen
PURCHASE STAR LINE MACKINAC ISL,salary : fbreen
CASH ADVANCE FEE,fee
HOLIDAY INN EXP GAS CITY GAS CIT,proj exp : lodging
SSI@TITANIC PIGEON FOR,personal : entertainment
WAL-MART #0578 SEVIERVILLE TN,proj exp : meal
PURCHASE WISH.COM,salary : fbreen
ACH DEBIT XXXXX9692 IRS USATAXPY,tax : installment
PURCHASE FRANKS PLACE,salary : fbreen
PURCHASE SUBWAY 00030452,proj exp : meal
PENN'S MADISON MADISON MS,proj exp : meal
AT&T WIRELESS,telecom : cell
PURCHASE HELLOFRESH.COM 800-733,personal : groceries
