payee_pattern,allocate_account
SCHULER BOOKSMUSIC OKEMOS MI,dispersement : fb
SOO SUPERVALU,dispersement : fb
PURCHASE MARTINIS GRILLE AND BA,proj exp : meal
MARATHON PETRO261354 SAULT STE. ,auto : gas
PURCHASE CHARLIES COUNTRY,auto : gas
INTERNET PMT TO CCD 121818,credit : voice
SHELL OIL 57426787909 MOUNT VERN,auto : gas
"PURCHASE DAILY BURN, INC.",dispersement : fb
Payment By Funds Transfer,account : personal
Loan Acct. 50083-1,mortgage : parnell
HERNANDO TIGER,dispersement : fb
TITANIC TENNESSEE ADMI,dispersement : fb
OFFICE DEPOT #629 SOUTH HAVEN MS,equipment : office supplies
PURCHASE PARKER ACE HAR,equipment : office furniture
PURCHASE NATIONAL OFFICE PRODUC,equipment : office supplies
PURCHASE JHFS #152 - CAD,auto : gas
HUNTINGTON BP MERCH PMT 180801,account : bgm
PURCHASE LITTLE CAESARS 1324 00,proj exp : meal
CAFE MOSAIC - OPELOUSA OPELOUSAS,proj exp : meal
PURCHASE WAL-MART #1294,proj exp : meal
Fee,fee : bank
PURCHASE AMAZON.COM*M88F62N02,equipment : tech reference
PURCHASE SUNOCO 0703910,auto : gas
INTERNET PMT TO CCD 020918,credit : voice
PURCHASE PENNYS KITCHEN,business development : meal
PURCHASE WALGREENS STOR,dispersement : fb
PAK N SHIP XPRESS SAULT STE. MA ,proj exp : shipping
SHELL OIL 57443552500 MARSHALL M,auto : gas
TST* JACK'S RESTAURANT RAPID RIV,proj exp : meal
SHELL OIL 52198310022 WEST BRANC,auto : gas
*FINANCE CHARGE* PURCHASE,fee : bank
WM SUPERCENTER #402 BREAUX BRIDG,proj exp : meal
Transfer to CSB Account,csb : account
PURCHASE SHELL Service S,auto : gas
SPEEDWAY 08740 DEW DE WITT MI,auto : gas
CHEVRON 0205821 LAFAYETTE LA,auto : gas
PURCHASE USA GASOLINE,auto : gas
PURCHASE FRANK N STUFF,proj exp : meal
Loan Payment,mortgage : parnell : note3
ARFSTROM PHARM,dispersement : fb
INTERNET PMT TO CCD 032618,credit : voice
PURCHASE AIRGASS NORTH,equipment : clothing
PURCHASE T J MAXX 4500 I-7,dispersement : fb
THE STORE 96 ESCANABA MI,auto : gas
BURGER KING #11714 Q07,dispersement : fb
BIG LOTS 3396 I 7,dispersement : fb
kofc,charity : kofc
INTERNET PMT TO CCD 011718,credit : voice
PURCHASE BP#8890618BLANEY PRQPS,auto : gas
AIRBNB * HMEPQRMYCW 415-800- CRE,proj exp : lodging
GMF Lease ,auto : cruze
PURCHASE 1668 WINERY,business development : meal
BIG BOY MANISTIQUE MANISTIQUE MI,proj exp : meal
PURCHASE PAK N SHIP XPRESS,proj exp : shipping
SHELL OIL 57445014400 MUNISING M,auto : gas
PURCHASE WM SUPERCENTER,proj exp : good
JOHNSON CITY Z49010754 JOHNSTON ,auto : gas
ARK ENCOUNTER,dispersement : fb
EASY SAVINGS REBATE RBT AMERICIN,proj exp : lodging
PURCHASE PARKER ACE HAR,dispersement : fb
APL* ITUNES.COM/BILL,dispersement : fb
PNC Medical,account : medical
LOVE S TRAVEL 00006635 PORT BARR,proj exp : meal
CHINA CATE,dispersement : fb
DT *DULUTH TRADING CO,dispersement : fb
WPY*GOFUNDME,dispersement : fb
HAMPTON INN MT VERNON MOUNT VERN,proj exp : lodging
PURCHASE MCDONALD'S F17236,proj exp : meal
INTEREST PAYMENT,fee : bank
MARATHON PETRO261354O SAULT STE.,auto : gas
TA CLAYTON CLAYTON IN,proj exp : meal
PICKLEMAN'S 1 STOP NEWBERRY MI,auto : gas
Payment from BGM,account : bgm
BIRCH COMMUNCAT INVPMT,telecom : landline
PURCHASE MCDONALD'S F5353,proj exp : meal
PURCHASE VIMEO.COM,dispersement : fb
MCALISTER'S #1033 GRENADA MS,proj exp : meal
CORNER STORE 1729 LAFAYETTE LA,auto : gas
Mi Dept. of Treasury,tax : state
PURCHASE WM SUPERCENTER,proj exp : food
cash,account : personal
"PURCHASE OPTICSPLANET, INC.",proj exp : equipment
NATIONWIDE - COM BILL PAY,insurance : gen-prof liability
MCDONALD'S F5896 ST. IGNACE MI,proj exp : meal
ACH CREDIT 1259124 HUNTINGTON BP,account : bgm
PURCHASE PARKER ACE HARDWARE,equipment : office furniture
,account : bgm
Liberty Committee,charity : kofc
EASY SAVINGS REBATE RBT SUNOCO 0,proj exp : meal
Payment to USAA MC,credit : usaamc
MARATHON PETRO203695 NAUBINWAY M,auto : gas
INTERNET TFR TO CHECKING,account : debit
DULUTH TRADING STORE PORT WASHIN,dispersement : fb
INTERNET PMT TO CCD 040218,credit : voice
PURCHASE LIFETOUCHPHOTOGRAPHY,dispersement : fb
INTL DEBIT CARD TRANS FEES,fee : bank
DR CRAIG MERCER DDS SAULT S MARI,medical : dental
ATM USAGE FEES,fee : bank
transfer from CSB,account : csb
PURCHASE AMZN MKTP US*M83RN1RB0,equipment : tech reference
PARKER ACE HARDWARE SAULT SAINTE,equipment : office furniture
SHOE DEPT 1599,dispersement : fb
PHILLIPS 66 - JACK FLASH EFFINGH,auto : gas
SHELL OIL 57444174502 VILLA PARK,auto : gas
PURCHASE THE WICKED SISTER,dispersement : fb
WALGREENS STOR,dispersement : fb
HUNTINGTON BP MERCH PMT 181221,account : bgm
EXXONMOBIL 97430482 RAPID RIVER ,auto : gas
INTERNET PMT TO CCD 122118,credit : voice
HUNTINGTON BP MERCH PMT 180212,account : bgm
R&R Marine,equipment : storage
SHELL OIL 57445373608 CEDAR RIVE,auto : gas
PURCHASE WENDYS #5094 SAULT STE,proj exp : meal
DDA CASH ADVANCE,account : personal
PANERA BREAD 606032 EFFINGHAM IL,proj exp : meal
csb,mortgage : baird : interest
PURCHASE WEIRD HAROLDS/,dispersement : fb
ACH DEBIT XXXXX3912 IRS USATAXPY,tax : installment 
WM SUPERCENTER #2938 LAFAYETTE L,proj exp : meal
CSB Loan Payment - Interest,loan : csb : interest
FIRST THINGS,dispersement : fb
PENNYS KITCHEN,dispersement : fb
INTERNET TFR FRM CHECKING,account : bgm
PURCHASE RED WINGS STORE 43,proj exp : clothing
BEGGAR'S BANQUET EAST LANSING MI,proj exp : meal
PURCHASE INT*IN *GOODWILL INDUS,dispersement : fb
USAA CREDIT CARD PAYMENT SAN ANT,account : cash
PURCHASE ULTA #702,equipment : office furniture
CBS ALL ACCESS,dispersement : fb
LITTLE CAESARS 1324 00,dispersement : fb
PURCHASE KRIST FOOD MART #40,auto : gas
DEPOSIT,account : ar
INTERNET PMT TO CCD 041818,credit : voice
SHELL OIL 57442115002 PLAINFIELD,auto : gas
PURCHASE KOHLS 152 4516 I-7,dispersement : fb
BP#8833196RICKERS #38 INDIANAPOL,proj exp : meal
MACKINAC GRILLE SAINT IGNACE MI,dispersement : fb
PURCHASE PALM TREE PAT,proj exp : meal
Ground Penetrating Radar Systems,sub : geophysics
SHELL OIL 57446319303 CLAYTON IN,auto : gas
ROC #16 JOHNSTON CITY IL,auto : gas
WM SUPERCENTER #1936,dispersement : fb
LOVES TRAVEL S00006437 SIKESTON ,proj exp : meal
PURCHASE LAKESUPERIORSTATE #035,tuition : mcbreen
PAYPAL *AUDIOBOOKS,dispersement : fb
DODGE STORE 6201 BLYTHEVILLE AR,auto : maintenance
INTERNET PMT TO CCD 041118,credit : voice
PURCHASE BIG LOTS 3396 I 7,dispersement : fb
INTERNET PMT TO CCD 121918,credit : voice
EXXONMOBIL 97670137 RUSSELL IL,auto : gas
PAYPAL *GODADDY.COM 402-935-7733,equipment : computer
PURCHASE BIGGBY COFFEE STORE 54,proj exp : meal
PERSONAL TOUCH ART STO,dispersement : fb
PURCHASE DOLLAR TREE,charity : kofc
CIRCLE K # 21530 WINONA MS,proj exp : meal
MCDONALD'S F18237 CASEY IL,proj exp : meal
PURCHASE TIM HORTON'S #916666,proj exp : meal
PURCHASE SHOPKO 16,auto : gas
PURCHASE SQ *SQ *JUDY MOSER,dispersement : fb
PAYPAL *GODADDY.COM,internet : website
DICK'S CLOTHING&SPORTING OKEMOS ,dispersement : fb
BIG MUDDY'S BURLINGTON IA,proj exp : meal
PURCHASE JACKSON ST MOBI,auto : gas
BP#9150376BARNEYS CONV M BOWLING,auto : gas
BLUE DOG CAFE LAFAYETTE LA,proj exp : meal
PURCHASE BP#5986443LAKESHOREQPS,auto : gas
PAYPAL *ARTCURATOR,dispersement : fb
PURCHASE DAIRY QUEEN #13026,dispersement : fb
HAMPTON INNS 765-6626656 IN,proj exp : lodging
INTERNET PMT TO CCD 100218,credit : voice
GFS STORE #0923,dispersement : fb
Payment to MB,account : bgm
WAL-MART #0578 SEVIERVILLE TN,proj exp : meal
HOLIDAY INN EXP GAS CITY GAS CIT,proj exp : lodging
CASH ADVANCE FEE,fee
ACH DEBIT XXXXX9692 IRS USATAXPY,tax : installment
PURCHASE PERSONAL TOUCH ART STO,dispersement : fb
PURCHASE SUBWAY 00030452,proj exp : meal
PENN'S MADISON MADISON MS,proj exp : meal
MC Breen,tuition : mcbreen
Preferred Cred PrefCredit,loan : vaccuum
PURCHASE BIGGBY COFFEE #351,proj exp : meal
PURCHASE PANERA BREAD #203222,proj exp : meal
AIRBNB * HM3PBWFJXR 415-800-5959,proj exp : lodging
PURCHASE LOCK CITY HOME,proj exp : equipment
PENNYS KITCHEN SAULT SAINTE MI,dispersement : fb
Interest Charge on Purchases,fee : interest
PURCHASE AIRBNB * HMYH59NM4X,proj exp : lodging
USAA MC Payment,credit : usaamc
PNC-Tax,account : tax
WAL-MART #0534 LAFAYETTE LA,proj exp : meal
HOLIDAY STNSTORE 0262 SAULT S MA,auto : gas
PURCHASE RODENROTH MOTO,auto : maintenance
PROMETRIC EXAM FEE,license : mb
MONK MANUAL MONKMANUAL.CO OH,equipment : office supplies
GUSTO CON 610360,account : ar
BEACON & BRIDGE MRKT28 FREDERIC ,proj exp : meal
GETZS DEPARTMENT STORE,dispersement : fb
PURCHASE SAFELITE AUTOGLASS,auto : maintenance
INTERNET TFR FRM CHECKING,account : debit
